"name","sex","election_type","district","party","initials","position"
"María Isabel Sánchez Torregrosa","1","senate","ALMERÍA","PARTIDO POPULAR","PP","3"
"Juan Moreno Gómez","0","senate","ALMERÍA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Alicia Cifuentes Salazar","1","senate","ALMERÍA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Laura Rodríguez-Carretero Romera","1","senate","ALMERÍA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"Mónica Fernández Amador","1","senate","ALMERÍA","PODEMOS","PODEMOS","1"
"Luis Jesús López Pérez","0","senate","ALMERÍA","PODEMOS","PODEMOS","2"
"David García del Valle","0","senate","ALMERÍA","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA,UPeC","1"
"Teresa Novo García","1","senate","ALMERÍA","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA,UPeC","2"
"Enrique Luis Usoz Chaparro","0","senate","ALMERÍA","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA,UPeC","3"
"Mikel Legarda Uriarte","0","congress","ARABA/ÁLAVA","EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO","EAJ-PNV","1"
"Laura Pérez Borinaga","1","congress","ARABA/ÁLAVA","EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO","EAJ-PNV","2"
"Jon Karla Menoyo Llano","0","congress","ARABA/ÁLAVA","EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO","EAJ-PNV","3"
"Agurtzane Llano Cuadrado","1","congress","ARABA/ÁLAVA","EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO","EAJ-PNV","4"
"Alfonso Alonso Aranegui","0","congress","ARABA/ÁLAVA","PARTIDO POPULAR","PP","1"
"Javier Maroto Aranzábal","0","congress","ARABA/ÁLAVA","PARTIDO POPULAR","PP","2"
"Leticia Comerón Refojos","1","congress","ARABA/ÁLAVA","PARTIDO POPULAR","PP","3"
"Laura Garrido Knörr","1","congress","ARABA/ÁLAVA","PARTIDO POPULAR","PP","4"
"José Javier Lasarte Iribarren","0","congress","ARABA/ÁLAVA","PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA","PSOE) [PSE-EE","1"
"Nora Igartua Ugarte","1","congress","ARABA/ÁLAVA","PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA","PSOE) [PSE-EE","2"
"Jon Pablo Nogales Prieto","0","congress","ARABA/ÁLAVA","PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA","PSOE) [PSE-EE","3"
"María Teresa Rodríguez Barahona","1","congress","ARABA/ÁLAVA","PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA","PSOE) [PSE-EE","4"
"Rodrigo Zamora Almeida","0","congress","ARABA/ÁLAVA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"Manuel Villarroya Lahuerta","0","congress","ARABA/ÁLAVA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"María Luz Bascones Martín","1","congress","ARABA/ÁLAVA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"Clara Baños Cánovas","1","congress","ARABA/ÁLAVA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","4"
"Iker Urbina Fernández","0","congress","ARABA/ÁLAVA","EUSKAL HERRIA BILDU","EH Bildu","1"
"Estíbaliz Besa Sánchez","1","congress","ARABA/ÁLAVA","EUSKAL HERRIA BILDU","EH Bildu","2"
