"name", "sex", "election_type", "party", "initials", "position", "account"
"Víctor Chacón Testor", "0", "congress", "PARTIDO POPULAR", "PP", "32", "https://twitter.com/VictorDiazCH"
"Ana Isabel Pérez Baos", "1", "congress", "PARTIDO POPULAR", "PP", "33", "https://twitter.com/Anai_pb"
"Manuel Ortiz Lázaro", "0", "congress", "PARTIDO POPULAR", "PP", "34", "https://twitter.com/jlazaro"
"Isabel Antonia Piqueras Blas", "1", "congress", "PARTIDO POPULAR", "PP", "35", "https://twitter.com/@Scherzo_es"
"Ignacio García de Vinuesa Gardoqui", "0", "congress", "PARTIDO POPULAR", "PP", "36", "https://twitter.com/garciadevinuesa"
"Pedro Sánchez Pérez-Castejón", "0", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "1", "https://twitter.com/sanchezcastejon"
"Meritxell Batet Lamaña", "1", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "2", "https://twitter.com/JuanmaRomero"
"Antonio Hernando Vera", "0", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "3", "https://twitter.com/AHernandoVera"
"Irene Lozano Domingo (Independiente)", "", "congress", "Independiente", "PSOE", "4", "https://twitter.com/lozanoirene"
"Rafael Simancas Simancas", "0", "congress", "Independiente", "PSOE", "5", "https://twitter.com/simancasrafael"
"Zaida Cantera de Castro (Independiente)", "", "congress", "Independiente", "PSOE", "6", "https://twitter.com/ZaidaCantera"
"Eduardo Madina Muñoz", "0", "congress", "Independiente", "PSOE", "7", "https://twitter.com/edumadina"
"Ángeles Álvarez Álvarez", "1", "congress", "Independiente", "PSOE", "8", "https://twitter.com/AAlvarezAlvarez"
"José Enrique Serrano Martínez", "0", "congress", "Independiente", "PSOE", "9", "https://twitter.com/josemserrano94"
"Gema López Somoza", "1", "congress", "Independiente", "PSOE", "10", "https://twitter.com/GemaL_Somoza"
"Manuel de la Rocha Vázquez", "0", "congress", "Independiente", "PSOE", "11", "https://twitter.com/cetemet"
"Elena Marín Serrano", "1", "congress", "Independiente", "PSOE", "12", "https://twitter.com/elenamase"
"Juan Ignacio Díaz Bidart", "0", "congress", "Independiente", "PSOE", "13", "https://twitter.com/Juandbidart"
"Emiliana Vicente González", "1", "congress", "Independiente", "PSOE", "14", "https://twitter.com/herrerillo"
"José Manuel Rodríguez Uribes", "0", "congress", "Independiente", "PSOE", "15", "https://twitter.com/jmrdezuribes"
"Sara Guisado Gallego", "1", "congress", "Independiente", "PSOE", "16", "https://twitter.com/Saraguiga"
"Julián Galán Fernández", "0", "congress", "Independiente", "PSOE", "17", "https://twitter.com/Julian_Galan"
"Consuelo Cruz Arboleda", "1", "congress", "Independiente", "PSOE", "18", "https://twitter.com/Consuelo_CruzA"
"Álvaro Gómez García", "0", "congress", "Independiente", "PSOE", "19", "https://twitter.com/_alvariito9"
"María Ángeles Juliana García Parreño", "1", "congress", "Independiente", "PSOE", "20", "No result found for María Ángeles Juliana García Parreño of PSOE in MADRID"
"Alejandro Martín Jiménez", "0", "congress", "Independiente", "PSOE", "21", "https://twitter.com/alex_stif"
"Silvia Buabent Vallejo", "1", "congress", "Independiente", "PSOE", "22", "https://twitter.com/SBuabentV"
"Héctor Criado de Pastors", "0", "congress", "Independiente", "PSOE", "23", "https://twitter.com/HectorMuDo"
"Alicia Carmen Miyares Fernández", "1", "congress", "Independiente", "PSOE", "24", "https://twitter.com/carmenfgarcia"
"Félix Bolaños García", "0", "congress", "Independiente", "PSOE", "25", "https://twitter.com/bg12mara"
"Carolina Piña Ramírez", "1", "congress", "Independiente", "PSOE", "26", "No result found for Carolina Piña Ramírez of PSOE in MADRID"
"Fernando Fernández Lara", "0", "congress", "Independiente", "PSOE", "27", "https://twitter.com/laraalcala"
"Raquel Jimeno Pérez", "1", "congress", "Independiente", "PSOE", "28", "https://twitter.com/Raquel_Jimeno"
"Pedro Llorente Rodríguez", "0", "congress", "Independiente", "PSOE", "29", "https://twitter.com/pedritonumeros"
"María de la Cruz Sánchez García", "1", "congress", "Independiente", "PSOE", "30", "https://twitter.com/MEspinosa_"
"José Ignacio Prieto García", "0", "congress", "Independiente", "PSOE", "31", "https://twitter.com/Inyakiruiz"
"María Antonia Muro Labella", "1", "congress", "Independiente", "PSOE", "32", "https://twitter.com/marysese"
"Juan Luis Juárez Saavedra", "0", "congress", "Independiente", "PSOE", "33", "https://twitter.com/Luis_Endera"
"Eva del Pilar Llarandi Arroyo", "1", "congress", "Independiente", "PSOE", "34", "https://twitter.com/arnaudmercier"
"Antonio Onetti Téllez", "0", "congress", "Independiente", "PSOE", "35", "https://twitter.com/antonioonetti"
"Eva María Izquierdo Álvarez", "1", "congress", "Independiente", "PSOE", "36", "https://twitter.com/ChimpunMaria"
"Albert Rivera Díaz", "", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "1", "https://twitter.com/Albert_Rivera"
"Francisco de la Torre Díaz", "", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "2", "https://twitter.com/frdelatorre"
"Marta Rivera de la Cruz", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "3", "https://twitter.com/MartaRiveraCruz"
"Miguel Ángel Gutiérrez Vivas", "", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "4", "https://twitter.com/mangelvivas"
"Patricia Isaura Reyes Rivera", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "5", "https://twitter.com/acmadrid"
"Fernando Maura Barandiarán (Independiente)", "", "congress", "Independiente", "C's", "6", "https://twitter.com/m_poyatos"
"Francisco Javier Hervías Chirosa", "0", "congress", "Independiente", "C's", "7", "https://twitter.com/FranHervias"
"Ignacio Sell Trujillo", "0", "congress", "Independiente", "C's", "8", "https://twitter.com/jibayon"
"Sofía Miranda Esteban", "1", "congress", "Independiente", "C's", "9", "https://twitter.com/So_Miranda"
"Cristina López-Cobo Arroyo", "1", "congress", "Independiente", "C's", "10", "https://twitter.com/arroyo_madrid"
"Roberto Hernández Blázquez", "", "congress", "Independiente", "C's", "11", "https://twitter.com/UEFAcomRobertoH"
"Fernando Manuel Calatrava Lillo", "0", "congress", "Independiente", "C's", "12", "https://twitter.com/CalatravaAbogad"
"Sofía Fernández Vázquez", "", "congress", "Independiente", "C's", "13", "https://twitter.com/iamthesofo"
"Miguel Ángel Lezcano López", "", "congress", "Independiente", "C's", "14", "https://twitter.com/miguelalezcano"
"Victoria Alonso Márquez", "", "congress", "Independiente", "C's", "15", "https://twitter.com/jose_alonso4"
"Juan Francisco Rubio Millán", "0", "congress", "Independiente", "C's", "16", "https://twitter.com/juanrubiomillan"
"Tomás Vidal Andrino", "0", "congress", "Independiente", "C's", "17", "https://twitter.com/Andrino87"
"Pilar Liébana Soto", "", "congress", "Independiente", "C's", "18", "https://twitter.com/pliebana"
"Rafael Fernández Rodríguez", "", "congress", "Independiente", "C's", "19", "https://twitter.com/teresafdez"
"Verónica Priego Álvarez", "", "congress", "Independiente", "C's", "20", "https://twitter.com/virgula"
"Alberto José Ruiz Jiménez", "", "congress", "Independiente", "C's", "21", "https://twitter.com/AlbertoLaoliva"
"María del Carmen Gutiérrez Moreno", "", "congress", "Independiente", "C's", "22", "https://twitter.com/GUTY14HAZ"
"Lorena Ruano Rueda", "1", "congress", "Independiente", "C's", "23", "https://twitter.com/lorena_ruano75"
"Ángel Niño Quesada", "", "congress", "Independiente", "C's", "24", "https://twitter.com/gelito"
"Esther Manuela Sáez Sanz", "", "congress", "Independiente", "C's", "25", "https://twitter.com/ErikaSanzMoreno"
"Omar Eliezer Nicolás Rivera", "0", "congress", "Independiente", "C's", "26", "https://twitter.com/CurroNeuro"
"María Belén Isabel del Pozo González", "", "congress", "Independiente", "C's", "27", "https://twitter.com/belenestebanm"
"Alberto Lamas Ferrer", "0", "congress", "Independiente", "C's", "28", "No result found for Alberto Lamas Ferrer of C's in MADRID"
"Óscar Barja Conde", "", "congress", "Independiente", "C's", "29", "https://twitter.com/barja_oscar"
"Belén Ortiz Calle", "1", "congress", "Independiente", "C's", "30", "https://twitter.com/belenortizcalle"
"Gonzalo González Carrascal", "0", "congress", "Independiente", "C's", "31", "https://twitter.com/igonzalezPP"
"Carmen Tomico del Río", "1", "congress", "Independiente", "C's", "32", "https://twitter.com/carmendelrio153"
"Eva María Sánchez Rivera", "", "congress", "Independiente", "C's", "33", "https://twitter.com/82mgsanchez"
